Date,adj_close,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-03-14,150.69764709472656,151.49759944522177,148.23853654610156,149.4038955086608,73695900,2023-03-14,151.0927276611328,0.002618246472722454,0.0,0.0,0.0,0.0,Medium
2023-03-15,151.0927276611328,151.34949789320206,148.06079247647403,149.31504702106903,77167900,2023-03-15,153.91720581054688,0.018521094425256197,0.0,0.0,0.0,0.0,Medium
2023-03-16,153.91720581054688,154.51964139483346,149.75941020923207,150.27296556048162,76161100,2023-03-16,153.0778045654297,-0.005468514526809941,0.0,0.0,0.0,0.0,Medium
2023-03-17,153.0778045654297,154.79623179656093,152.3667322676899,154.14441301203934,98944600,2023-03-17,155.44802856445312,0.015365135596337289,0.0,0.0,0.0,0.0,Medium
2023-03-20,155.44802856445312,155.86283327756414,152.23833280571804,153.14693686632677,73641400,2023-03-20,157.30470275878906,0.011873252063032812,0.0,0.0,0.0,0.0,Medium
2023-03-21,157.30470275878906,157.42320976774403,154.59867718770118,155.36901795458434,73938300,2023-03-21,155.87266540527344,-0.009145279831278346,0.0,0.0,0.0,0.0,Medium
2023-03-22,155.87266540527344,160.1292123200188,155.85290921676807,157.32443633451206,75701800,2023-03-22,156.95904541015625,0.006945487522839468,0.0,0.0,0.0,0.0,Medium
2023-03-23,156.95904541015625,159.54656410725272,155.72454710395584,156.86029458739586,67622100,2023-03-23,158.26268005371094,0.008271270477039584,0.0,0.0,0.0,0.0,Medium
2023-03-24,158.26268005371094,158.35156031348998,155.89244937558198,156.88991856429575,59196500,2023-03-24,156.31710815429688,-0.012369495937382,0.0,0.0,0.0,0.0,Medium
2023-03-27,156.31710815429688,158.77623413977568,155.91218910395636,157.9565254779494,52390300,2023-03-27,155.6949005126953,-0.003988362300857799,0.0,0.0,0.0,0.0,Medium
2023-03-28,155.6949005126953,156.52449472162644,154.04561279409856,156.01093927220384,45992200,2023-03-28,158.7762451171875,0.019597621383416246,0.0,0.0,0.0,0.0,Medium
2023-03-29,158.7762451171875,159.05277154396305,157.37385679009435,157.39359791374972,51305700,2023-03-29,160.34652709960938,0.009841319973401227,0.0,0.0,0.0,0.0,Medium
2023-03-30,160.34652709960938,160.45516356045198,159.27004812279844,159.5268183622626,49501700,2023-03-30,162.85501098632812,0.015523034158118964,0.0,0.0,0.0,0.0,Medium
2023-03-31,162.85501098632812,162.95377687892702,159.90210067407045,160.42552675181378,68749800,2023-03-31,164.10923767089844,0.007671987635551744,0.0,0.0,0.0,0.0,Medium
2023-04-03,164.10923767089844,164.22774466628186,162.18342364813336,162.23280658606208,56976200,2023-04-03,163.5759735107422,-0.0032547372460668793,0.0,0.0,0.0,0.0,Medium
2023-04-04,163.5759735107422,164.77095946962157,163.06241797980005,164.5339454319251,46278300,2023-04-04,161.72914123535156,-0.011354583950740578,0.0,0.0,0.0,0.0,Medium
2023-04-05,161.72914123535156,163.00315186770885,159.79345641920935,162.69699871298138,51511700,2023-04-05,162.6179962158203,0.005480900571979375,0.0,0.0,0.0,0.0,Medium
2023-04-06,162.6179962158203,162.91427882271006,159.99098020805553,160.41564039126865,45390100,2023-04-06,160.02059936523438,-0.016101315843961326,0.0,0.0,0.0,0.0,Medium
2023-04-10,160.02059936523438,160.02059936523438,158.09478511621296,159.41816361866267,47716900,2023-04-10,158.80584716796875,-0.007620183887340006,0.0,0.0,0.0,0.0,Medium
2023-04-11,158.80584716796875,160.34649846878187,158.51943515436048,160.33662790848967,47644200,2023-04-11,158.1145477294922,-0.004362613110610555,0.0,0.0,0.0,0.0,Medium
2023-04-12,158.1145477294922,160.05023261805474,157.7985089324277,159.22065338009935,50133100,2023-04-12,163.5068359375,0.0335350434970522,0.0,0.0,0.0,0.0,Medium
2023-04-13,163.5068359375,163.74386504702863,159.4181779828813,159.62558033741385,68445600,2023-04-13,163.1611785888672,-0.0021162615393366525,0.0,0.0,0.0,0.0,Medium
2023-04-14,163.1611785888672,164.2574136863755,161.7884170766324,162.5488571823505,49386500,2023-04-14,163.18089294433594,0.00012082018968702127,0.0,0.0,0.0,0.0,Medium
2023-04-17,163.18089294433594,163.33891231813308,161.99577777997115,163.04262975965267,41516200,2023-04-17,164.4055633544922,0.007476964276364963,0.0,0.0,0.0,0.0,Medium
2023-04-18,164.4055633544922,165.3339085806636,163.59572515479,164.0401566431714,49923000,2023-04-18,165.55116271972656,0.0069439649382637,0.0,0.0,0.0,0.0,Medium
2023-04-19,165.55116271972656,166.07458878664085,163.48707013576512,163.74385542338587,47720200,2023-04-19,164.58328247070312,-0.005863568835154855,0.0,0.0,0.0,0.0,Medium
2023-04-20,164.58328247070312,165.78815383509277,163.50680373238094,164.03022972696172,52456400,2023-04-20,162.9735107421875,-0.009829041692080097,0.0,0.0,0.0,0.0,Medium
2023-04-21,162.9735107421875,164.38576938158798,162.45008473615934,163.00313749199609,58337300,2023-04-21,163.2796630859375,0.0018767782702064975,0.0,0.0,0.0,0.0,Medium
2023-04-24,163.2796630859375,163.5463189024918,161.85751882372426,162.95375377005053,41949600,2023-04-24,161.739013671875,-0.00948044566995588,0.0,0.0,0.0,0.0,Medium
2023-04-25,161.739013671875,164.2475072794641,161.69950129216383,163.1414017604714,48714100,2023-04-25,161.72914123535156,-6.104116511464385e-05,0.0,0.0,0.0,0.0,Medium
2023-04-26,161.72914123535156,163.23029532612622,160.78105501874768,161.0378252295865,45498800,2023-04-26,166.3214874267578,0.027999618420627672,0.0,0.0,0.0,0.0,Medium
2023-04-27,166.3214874267578,166.46962119212645,163.14141866066578,163.14141866066578,64902300,2023-04-27,167.57571411132812,0.007512687005953212,0.0,0.0,0.0,0.0,Medium
2023-04-28,167.57571411132812,167.74361912541863,165.79804878354395,166.40048449959994,55275900,2023-04-28,167.48683166503906,-0.0005305424285365533,0.0,0.0,0.0,0.0,Medium
