Date,adj_close,High_SPY,Low_SPY,Open_SPY,Volume_SPY,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-03-13,372.5578308105469,377.4207560622375,368.0043113317684,369.1257781796911,157790000,2023-03-13,378.71624755859375,0.016394961228106197,0.0,0.0,0.0,0.0,Medium
2023-03-14,378.71624755859375,380.37910817644826,374.1917006192016,377.5270990835378,149752400,2023-03-14,376.34759521484375,-0.006274065792885455,0.0,0.0,0.0,0.0,Medium
2023-03-15,376.34759521484375,376.5506104721961,370.96263100303673,373.07023090261066,172996900,2023-03-15,382.95068359375,0.017393045724289888,0.0,0.0,0.0,0.0,Medium
2023-03-16,382.95068359375,383.29873925578954,373.4569395073944,373.9693310207148,143254200,2023-03-16,378.47296142578125,-0.01176158322869836,0.0,0.0,0.0,0.0,Medium
2023-03-17,378.47296142578125,382.7527306190726,377.07548456199856,381.607585016245,140553400,2023-03-17,382.1122131347656,0.009569682933265846,0.0,0.0,0.0,0.0,Medium
2023-03-20,382.1122131347656,382.5295370495044,378.5506107404246,379.2590337083156,93055800,2023-03-20,387.1295471191406,0.013045066960668449,0.0,0.0,0.0,0.0,Medium
2023-03-21,387.1295471191406,387.614781311772,383.8978708110625,385.50885188456004,91524200,2023-03-21,380.53033447265625,-0.017193487306920694,0.0,0.0,0.0,0.0,Medium
2023-03-22,380.53033447265625,390.60380078936583,380.49153706201895,386.9548598944108,111746600,2023-03-22,381.55908203125,0.002699809658003441,0.0,0.0,0.0,0.0,Medium
2023-03-23,381.55908203125,387.49834402783915,378.82235397671315,383.42236481400363,119351300,2023-03-23,384.0628356933594,0.0065404673757219626,0.0,0.0,0.0,0.0,Medium
2023-03-24,384.0628356933594,384.1501742877556,377.90035596932563,380.26830102743105,107682400,2023-03-24,384.781005859375,0.0018681826817769486,0.0,0.0,0.0,0.0,Medium
2023-03-27,384.781005859375,387.1392665762463,383.87847735665684,386.36287408760825,74010400,2023-03-27,383.9173278808594,-0.0022471190687897145,0.0,0.0,0.0,0.0,Medium
2023-03-28,383.9173278808594,384.78102940791774,382.06372957224914,384.0822909335534,62871700,2023-03-28,389.4975280761719,0.014430281455871176,0.0,0.0,0.0,0.0,Medium
2023-03-29,389.4975280761719,389.74014519474224,386.90636421864724,388.1194498114992,77497900,2023-03-29,391.7781066894531,0.00583810626954274,0.0,0.0,0.0,0.0,Medium
2023-03-30,391.7781066894531,392.40890522902254,389.89539561567375,392.15657396665665,69840000,2023-03-30,397.3000793457031,0.013996237375281611,0.0,0.0,0.0,0.0,Medium
2023-03-31,397.3000793457031,397.6009221855854,392.60298614628937,392.70975307263075,112062600,2023-03-31,398.8140563964844,0.0038034216650876997,0.0,0.0,0.0,0.0,Medium
2023-04-03,398.8140563964844,399.2216365961225,396.3781708958426,396.77606654924597,67391100,2023-04-03,396.601318359375,-0.005563743964022041,0.0,0.0,0.0,0.0,Medium
