,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2024-02-09,187.71632385253903,187.7878517150879,187.39127163665086,38.55252853233357,-0.2287021288096298,-0.17894976636785107,1.4863324846540178
2024-02-12,186.02650451660156,187.86075897216796,187.1813074643356,31.773476952019863,-0.3206315419501493,-0.20728612148431072,1.515561785016741
2024-02-13,183.92918395996097,187.94246673583984,186.68098077135488,29.77746146064382,-0.5563097129808625,-0.2770908397836211,1.6171515328543506
2024-02-14,183.0445098876953,188.02709579467773,186.12152371233034,29.062352820453455,-0.8051904315135232,-0.38271075812960154,1.6569431849888392
2024-02-15,182.7562713623047,187.8019760131836,185.60379258155717,30.998760950433805,-1.0139998747652612,-0.5089685814567335,1.553438459123884
2024-02-16,181.215576171875,187.35438613891603,184.928682364683,29.825222244048902,-1.2889459224211066,-0.6649640496496082,1.6145618983677454
2024-02-20,180.4700469970703,186.75386581420898,184.24273846197335,34.2455486003243,-1.5491430629060403,-0.8417998523008947,1.406158447265625
2024-02-21,181.22552490234375,186.12708892822266,183.77855176049187,44.551157955440864,-1.6750811256811744,-1.0084561069769507,1.202010018484933
2024-02-22,183.26321411132812,185.63594970703124,183.6992690452359,43.18562315695188,-1.5921105983560437,-1.1251870052527693,1.173119681222096
2024-02-23,181.42430114746097,185.06924438476562,183.34927398403974,41.0932806198316,-1.6556554005795192,-1.2312806843181194,1.232851300920753
2024-02-26,180.0724639892578,184.52181243896484,182.8451493694579,31.413824713972346,-1.7944122080975262,-1.343906989074001,1.1996470860072483
2024-02-27,181.5336456298828,184.0816879272461,182.64337956336942,30.80795165726734,-1.766114166210258,-1.4283484245012525,1.1891424996512237
2024-02-28,180.33090209960935,183.76458511352538,182.28761379971402,28.29355557275663,-1.8197620313493417,-1.5066311458708705,1.2672533307756677
2024-02-29,179.6649627685547,183.5948631286621,181.8841290256895,28.97311084082891,-1.8941791711139615,-1.584140750919489,1.23753029959542
2024-03-01,178.58148193359375,183.24885940551758,181.3760294730594,24.11278514763208,-2.017328630172983,-1.670778326770188,1.2602528163364934
2024-03-04,174.04885864257812,182.72635803222656,180.24877242221612,20.76675507767432,-2.4524005357826013,-1.8271027685726706,1.4633102416992188
2024-03-05,169.09873962402344,181.8655158996582,178.5333827609557,18.228385529376524,-3.160202542674483,-2.093722723393033,1.667081560407368
2024-03-06,168.104736328125,180.87456130981445,176.92897561744329,18.143395116478672,-3.758028280593919,-2.4265838348332105,1.6748907906668526
2024-03-07,167.9854736328125,179.8721839904785,175.55305223519238,18.275090207748207,-4.193097569124461,-2.7798865816914606,1.6628210885184151
2024-03-08,169.705078125,179.00988998413087,174.6533639105474,25.46615323572074,-4.349002806412642,-3.0937098266356973,1.675600324358259
