Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio
2022-01-19,139892.8989241637,102188.71923590271,321.8438681279448
2022-01-20,138806.58723008583,102483.02017644509,314.12277562489317
2022-01-21,136419.91516204458,102606.66353323162,306.8894297629906
2022-01-24,136865.34361166693,102541.4197487393,300.4534713673988
2022-01-25,135535.71007179478,102699.82570587049,302.4142846400577
2022-01-26,134941.20845620264,102459.52069661587,266.98385228548705
2022-01-27,134454.62743897844,102503.35275175258,267.71471707096396
2022-01-28,137262.61362557847,102468.81176035889,278.9588388148024
2022-01-31,139871.48373309398,102749.96398535081,295.0658373336761
2022-02-01,140859.49248886676,102859.25303424335,290.2654091400738
2022-02-02,141861.45484069615,102719.46103987057,284.36656380673486
2022-02-03,139705.76727654942,103155.27267125063,271.9323791419402
2022-02-04,140457.0168010647,103318.06801336205,265.8603746129839
2022-02-07,140690.04791411094,103754.89801360633,264.67336784577645
2022-02-08,141828.70917534587,103922.436628702,260.31589396911505
2022-02-09,144257.60615391316,104500.68232385282,261.7917453459062
2022-02-10,141934.63022127154,104369.32555235547,274.38470684716214
2022-02-11,139086.6048231017,104131.10737673122,299.3469147969425
2022-02-14,138192.19475084098,103764.71088913124,294.7042264487409
2022-02-15,140345.782556381,103887.9993349819,295.19751386955875
2022-02-16,140567.33297257964,103946.16696968293,300.69781346323543
2022-02-17,137597.74126338342,103979.21806628157,332.19893155534106
2022-02-18,136811.19108721404,104060.48518078077,332.3509038686126
2022-02-22,135527.96282625748,104199.92618615934,331.2574106826912
2022-02-23,132855.49812022402,104026.1531414324,336.79601182292953
2022-02-24,134433.6115520459,103779.35908920316,312.42745249302357
2022-02-25,137871.04392547513,104100.21079176752,337.27286793950805
2022-02-28,137426.61934028662,104036.79881785037,338.03218416180437
2022-03-01,134894.15307984757,103761.46651666734,341.69676592875555
2022-03-02,137702.85739007348,103895.09191307769,350.9898645411372
2022-03-03,136914.2407135542,103849.38473355932,350.7702744147674
2022-03-04,135796.5215681965,103910.6220156911,355.8556863341119
2022-03-07,131343.41599113794,103837.6929118729,358.3215090604376
2022-03-08,130424.0143714313,103971.86383952734,360.2165103688309
2022-03-09,133958.7187945955,103783.24337321718,355.3150291266397
2022-03-10,133754.30636611293,104137.58216795708,361.5096924765713
2022-03-11,132314.9916148499,104433.44968867896,354.18741822444554
2022-03-14,131737.8717125854,104791.99331746699,354.18755834139534
2022-03-15,134135.90544865647,104387.63582203766,331.9173253632078
2022-03-16,137245.57347750684,104504.71172240123,329.48621780666
2022-03-17,139215.58916669586,104698.38915895,331.50130439417205
2022-03-18,140593.696145197,104595.50850072668,329.2829434512792
2022-03-21,140396.6929169913,104477.22999117442,306.2686192015433
2022-03-22,141916.50895956106,104491.51919623099,302.13664998458574
2022-03-23,140080.60824682683,104373.49658334372,303.23630075846836
2022-03-24,142124.27983792574,104434.04532040152,307.2375519713933
2022-03-25,142981.99429547443,104586.62792716049,309.98954381435783
2022-03-28,143722.8984678317,104403.19405156717,322.1014310736403
2022-03-29,145373.1379365497,104281.74943181135,337.37225286229767
2022-03-30,144668.7180163473,104402.88548847678,321.5237343911802
2022-03-31,142710.62442009986,104479.99202963972,307.06693892681983
2022-04-01,143297.97889289068,104634.32400186382,308.65590893510205
2022-04-04,143682.75745907452,104111.41206585328,295.5908839238285
2022-04-05,142190.6147286204,104186.51695850791,290.46766725727684
2022-04-06,141237.40279628363,104361.23737334259,277.8043209701475
2022-04-07,141812.90648771252,104362.60997845909,266.90162807778347
2022-04-08,141890.74319465435,104639.45346617703,261.3647620534435
2022-04-11,140025.73869202833,104677.22598303849,263.5369873439625
2022-04-12,139583.40173020464,104637.93811610536,250.71860354884447
2022-04-13,141353.65382423738,104983.69040893909,273.58418328686946
2022-04-14,140012.5363229546,105028.72569739092,266.9008649881288
2022-04-18,139362.94713356646,104508.49708615005,254.3425193961067
2022-04-19,141647.2860363434,104746.03031495547,291.7014718545618
2022-04-20,142207.43258762706,105228.19112042741,293.15171690864213
2022-04-21,139760.13558417937,104906.37780516973,316.3807434466903
2022-04-22,135566.87283970145,104705.37099216708,341.3160406013845
2022-04-25,136106.5815655216,104512.31947742347,334.41092901298157
2022-04-26,132466.97073621824,104750.11773232337,334.2370750268018
2022-04-27,132535.48055971888,104511.65763419974,330.67089844128776
2022-04-28,134655.05283318576,103821.33349411466,295.0721394687717
2022-04-29,129746.98255579465,103546.05308869445,301.8009067772836
2022-05-02,130313.6968620808,103423.9073402757,303.6275167576161
2022-05-03,130937.36526906064,103488.30619446991,299.2740369565519
2022-05-04,134893.9405793248,103665.95242478998,308.3309910982583
2022-05-05,130140.77087251395,103454.27936546832,307.780812107369
2022-05-06,129218.66379986584,103290.3104489161,303.3526401583496
2022-05-09,124111.70362529677,102377.31604834562,313.017083980954
2022-05-10,124029.02278207008,102078.96121165143,316.84291184174737
2022-05-11,122111.3300185032,102069.76614437313,315.2496049025384
2022-05-12,122293.3203044169,102331.0947269556,334.73871709115014
2022-05-13,125788.82270332384,102628.05242260586,352.45562613799666
2022-05-16,124851.60011861788,102312.59932247187,352.7408756927427
