Date,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2021-09-30,138.68203735351562,145.14669799804688,142.2199314365317,31.555566831734552,-1.6113147874010565,-0.8038364526270156,1.4176254272460938
2021-10-01,139.80911254882812,144.60764846801757,141.84903622303884,33.429174356382035,-1.684274173108406,-0.9799239967232938,1.4575238909040178
2021-10-04,136.36907958984375,143.86474609375,141.00596597177804,30.392914712902964,-1.9966606609393125,-1.1832713295664976,1.603130885532924
2021-10-05,138.29983520507812,143.10126037597655,140.58963816151652,33.47238791810595,-2.064633550634966,-1.3595437737801912,1.677337646484375
2021-10-06,139.17210388183594,142.4588150024414,140.3715559646426,36.20478379665859,-2.0247773897077366,-1.4925904969657005,1.7228382655552454
2021-10-07,140.4364013671875,141.93054809570313,140.38153218041873,44.02244832410305,-1.8696210267343645,-1.5679966029194334,1.6220288957868303
2021-10-08,140.0541534423828,141.63309173583986,140.3311662207209,49.902084820214625,-1.7572462631158885,-1.6058465349587245,1.4309158325195312
2021-10-11,139.96595764160156,141.30280075073242,140.27498028547177,48.45305000551595,-1.6562133211623973,-1.6159198921994593,1.4029126848493303
2021-10-12,138.6918487548828,140.97888107299804,140.03142158845807,38.53052773981085,-1.6598205476759915,-1.624700023294766,1.324505397251674
2021-10-13,138.1038360595703,140.58096771240236,139.7348699686292,34.03449694750719,-1.6906383840556884,-1.6378876954469506,1.2979016985212053
2021-10-14,140.8970489501953,140.33447799682617,139.91366673502398,42.58206978416845,-1.4726964767357629,-1.6048494517047132,1.4911150251116072
2021-10-15,141.95550537109375,140.2746925354004,140.2277957559578,48.72768259221638,-1.2007261342711217,-1.524024788217995,1.458209446498326
2021-10-18,143.63150024414062,140.45159835815429,140.75144260029361,62.1594385371677,-0.8402628717065568,-1.3872724049157075,1.3357031685965401
2021-10-19,145.79747009277344,140.71279067993163,141.5277545222136,64.5558484558279,-0.37548906984383734,-1.1849157379013335,1.426011221749442
2021-10-20,146.28749084472656,140.87989349365233,142.26002164875405,69.85690689745566,0.032019000943336096,-0.9415287901323997,1.367903573172433
2021-10-21,146.5030975341797,141.00975341796874,142.91280255420415,68.35056298590423,0.36812621110684063,-0.6795977898845517,1.3027986798967635
2021-10-22,145.72885131835938,141.09648971557618,143.34604082561265,80.05051841139388,0.5654996695329544,-0.43057829800105046,1.1123853410993303
2021-10-25,145.67987060546875,141.2567337036133,143.70509156097512,76.95092132567476,0.7097852604962327,-0.20250558630159382,0.9779728480747768
2021-10-26,146.34632873535156,141.61985473632814,144.11143574164842,76.59916316476694,0.8679055571049048,0.011576642379705918,0.9632720947265625
2021-10-27,145.8856964111328,141.91486129760742,144.3843989215691,71.48412355604431,0.9451527202411967,0.19829185795200407,0.905867440359933
2021-10-28,149.53158569335938,142.45733871459962,145.17627380953684,79.71767128570376,1.2857432013917958,0.41578212663996245,1.1389846801757812
2021-10-29,146.81674194335938,142.80772018432617,145.42865352243263,68.44342130018741,1.3213665190865242,0.5968990051292749,1.3266023908342635
2021-11-01,145.99349975585938,143.28894119262696,145.51555294295983,70.14630162131667,1.2685464764645928,0.7312284993963385,1.2943976266043526
2021-11-02,147.03236389160156,143.72556762695314,145.7489084735201,74.03706326684534,1.295579234794758,0.8440986464760224,1.326601300920759
2021-11-03,148.4730987548828,144.19061737060548,146.1680146706528,71.99789814324171,1.4169247270269238,0.9586638625862027,1.2299957275390625
2021-11-04,147.9536590576172,144.56648025512695,146.44272919172425,67.9790816144515,1.4544119063212406,1.0578134713332104,1.1914945329938615
2021-11-05,148.48367309570312,144.98795623779296,146.75672056156716,65.61696418222999,1.5094880309567316,1.1481483832579147,1.1096387590680803
2021-11-08,147.65921020507812,145.37261886596679,146.8955651221073,56.55845475235465,1.4696675785733362,1.212452222320999,1.0138168334960938
2021-11-09,148.0223846435547,145.8391456604004,147.06892197156074,56.16671801168931,1.4506920502474543,1.26010018790629,1.0047563825334822
2021-11-10,145.18576049804688,146.19324188232423,146.77920482178936,46.05294800203723,1.1930096725698718,1.2466820848390066,1.191971915108817
2021-11-11,145.13668823242188,146.40522384643555,146.52650996188666,48.14513523382729,0.9736116213188382,1.192067992134973,1.1401737758091517
2021-11-12,147.217529296875,146.6683250427246,146.63282062880793,54.27262875294461,0.956616291476621,1.1449776520033026,1.285306658063616
2021-11-15,147.22732543945312,146.84811630249024,146.72428290736875,52.54070666470698,0.9331807106210022,1.1026182637268425,1.2384022303989954
2021-11-16,148.2088623046875,146.96868591308595,146.95267973772548,56.50435714304024,0.9824841996488658,1.0785914509112473,1.2756096976143974
2021-11-17,150.65283203125,147.18695297241212,147.52193393672925,53.36576866420914,1.2048764361953488,1.1038484479680677,1.18975830078125
2021-11-18,154.95188903808594,147.60939254760743,148.6650039523226,72.29927950672185,1.7083293008589067,1.2247446185462356,1.3029163905552454
2021-11-19,157.58233642578125,148.20206680297852,150.0369012559316,78.90267515458174,2.2931405471110793,1.4384238042592044,1.4320024762834822
2021-11-22,158.0436248779297,148.82025451660155,151.26870489008516,78.27683978884278,2.761991279849127,1.703137299377189,1.3907470703125
2021-11-23,158.4264373779297,149.42425994873048,152.3698945035997,77.02870014021899,3.128386540201177,1.9881871475419868,1.3151811872209822
2021-11-24,158.94662475585938,150.0773063659668,153.3816991577935,79.85063804503565,3.4212936542126613,2.2748084488761218,1.315234592982701
2021-11-26,153.91143798828125,150.2962989807129,153.463197439407,61.84147101433837,3.2101228628853846,2.4618713316779743,1.6370326450892858
2021-11-29,157.2780303955078,150.81936340332032,154.05009481726867,68.88962803812811,3.2766531430443706,2.6248276939512536,1.8186133248465401
2021-11-30,162.24453735351562,151.6319152832031,155.3107782843836,73.65319151851854,3.687625819100674,2.837387318981138,2.1474227905273438
2021-12-01,161.72433471679688,152.36651382446288,156.29747927398563,79.80192030619315,3.926091086368359,3.0551280724585825,1.981964111328125
2021-12-02,160.7329559326172,152.9795066833496,156.9798602983905,77.18085431719246,3.9890967222547147,3.241921802417809,2.049271719796317
2021-12-03,158.8484649658203,153.52424697875978,157.26733793953355,70.4098381286392,3.8426705567544843,3.362071553285144,2.0352467128208707
2021-12-06,162.26416015625,154.2132713317871,158.03607981902837,73.56918446575935,3.9566351937699835,3.480984281382112,2.2785252162388394
2021-12-07,168.0158233642578,155.2311019897461,159.5714249798329,77.00742061218283,4.4596560035375035,3.6767186258131908,2.619248526436942
2021-12-08,171.84376525878906,156.42217102050782,161.45947733044153,77.84364147143137,5.10830122210956,3.963035145072465,2.718103681291853
2021-12-09,171.33335876464844,157.72955093383788,162.97853601262722,73.90422421309792,5.517568596419949,4.273941835341962,2.447485787527902
2021-12-10,176.13299560546875,159.27936630249025,165.00229902691052,75.45790199762286,6.158218411498694,4.650797150573308,2.6024278913225447
2021-12-13,172.49154663085938,160.54306716918944,166.15449096597956,68.23580890648586,6.299486942016074,4.9805351088618615,2.8295822143554688
2021-12-14,171.10760498046875,161.73708114624023,166.9165085066702,65.61132602714817,6.227978485928531,5.230023784275196,2.9010914393833707
2021-12-15,175.9857177734375,163.12592391967775,168.31177147078824,68.94360520112208,6.490116431328374,5.482042313685832,3.212371826171875
2021-12-16,169.07586669921875,164.04707565307618,168.42932458285446,66.1847579751562,6.070320531560611,5.599697957260788,3.346276419503348
2021-12-17,167.97657775878906,164.69831008911132,168.35967122530593,61.99911556280873,5.584550603086512,5.596668486425933,3.184326171875
2021-12-20,166.61224365234375,165.14980545043946,168.09083621408098,55.32927955435738,5.031484256296807,5.483631640400108,2.927028111049107
2021-12-21,169.7924041748047,165.73724441528321,168.35261590034617,59.24424180989222,4.794519333893817,5.34580917909885,3.1170251028878346
2021-12-22,172.3933868408203,166.43559188842772,168.97427296811142,62.885036268661246,4.761710455409599,5.228989434361,3.231996808733259
2021-12-23,173.02157592773438,167.13933944702148,169.59693496189956,66.10886367396603,4.731852936973098,5.12956213488342,3.142260960170201
2021-12-27,176.99667358398438,168.29360122680663,170.73535628837416,66.53441554571741,4.971637851665633,5.0979772782398625,3.182218279157366
2021-12-28,175.97592163085938,169.2284957885742,171.54159711029496,59.99506447792101,5.021419177723402,5.082665658136571,2.8442960466657365
2021-12-29,176.0642852783203,169.91948318481445,172.23739528999116,55.84874413002584,5.01024644291968,5.068181815093193,2.577183314732143
2021-12-30,174.9060821533203,170.5785705566406,172.6479624997341,54.86371171111287,4.852003778125663,5.024946207699688,2.6234545026506697
2021-12-31,174.28773498535156,171.25630950927734,172.9002351898291,47.16524340074215,4.623404152387849,4.94463779663732,2.3247909545898438
2022-01-03,178.64564514160156,172.2461685180664,173.7841444131787,59.25051801432963,4.739253071725585,4.903560851654973,2.3759667532784596
